Полное ФИО;Серия Номер;Пункт Отправления;Пункт Назначения;Время Отправления;Время Прибытия;Номер Поезда;Вагон-Место;Цена;Карта;cluster
Коновалов Богдан Максимович;5838_295591;Самара;Саратов;2047-05-19T01:00;2047-05-19T09:00;173.0;1_13;514.0;5500416247478183_;4.0
Макаров Илья Тимурович;9589_736904;Керчь;Симферополь;2015-04-15T09:50;2015-04-15T22:30;561.0;1_25;690.0;2207385600735284_;9.0
Емельянов Андрей Евграфович;2339_567587;Рязань;Москва;2029-10-11T04:30;2029-10-11T09:30;80.0;2_16;509.0;4817722656613607_;5.0
Куликов Евграф Пантелеевич;8904_842413;Чудово;Бологое;2013-04-07T14:31;2013-04-07T15:32;775.0;1_12;554.0;5200322883703421_;6.0
Емельянова Дарья Еремеевна;8097_501570;Киров;Санкт-Петербург;2053-06-06T16:33;2053-06-07T11:45;664.0;25_2;1099.0;5469858823836080_;10.0
Карпова Вера Германовна;1187_855337;Воронеж;Москва;2013-05-11T05:24;2013-05-11T15:00;204.0;12_64;534.0;2202745081283228_;1.0
Миронова Вероника Михайловна;1747_230885;Мичуринск;Балашов;2026-02-10T09:45;2026-02-10T21:25;90.0;12_21;542.0;5469576444876836_;5.0
Осипов Серафим Игнатьевич;1527_241648;Уфа;Омск;2096-08-03T05:00;2096-08-04T17:21;514.0;5_1;8875.0;5100588574475842_;3.0
Краснов Леонид Павлович;8699_640777;Сочи;Краснодар;2016-03-29T08:56;2016-03-29T12:18;732.0;5_60;590.0;4100555156214873_;7.0
Климов Вадим Аполлонович;7815_812757;Арзамас;Нижний Новгород;2013-01-30T03:50;2013-01-30T11:30;158.0;6_62;523.0;5200738784438520_;5.0
Колесников Дмитрий Борисович;0120_085461;Воронеж;Ростов-на-Дону;2030-03-04T20:02;2030-03-05T01:13;429.0;24_11;649.0;5500328880242542_;10.0
Ромашкина Ирина Руслановна;5567_122540;Адлер;Саратов;2014-09-24T16:15;2014-09-26T05:15;482.0;4_1;536.0;2200404617618233_;8.0
Абрамова Снежана Анатольевна;1023_346713;Рязань;Тольятти;2026-05-24T23:22;2026-05-25T12:58;65.0;4_1;536.0;5100385842083757_;3.0
Родионова Элла Владленовна;3508_027382;Иркутск;Омск;2063-04-16T13:00;2063-04-17T23:02;198.0;4_1;536.0;5200468444534560_;4.0
Якушева Таисия Альбертовна;2321_727304;Самара;Волгоград;2045-12-31T06:40;2046-01-01T03:20;455.0;4_1;536.0;2202215688846463_;9.0
Федоров Василий Еремеевич;4533_869564;Омск;Тюмень;2059-05-10T20:43;2059-05-11T13:44;76.0;10_40;561.0;5334614488075003_;3.0
Журавлев Елисей Эмильевич;0658_295935;Санкт-Петербург;Москва (Восточный);2023-10-20T15:10;2023-10-20T23:35;145.0;1_64;626.0;5334664638512761_;5.0
Лебедев Тарас Оскарович;7448_626708;Вышний Волочёк;Бологое;2014-11-20T15:06;2014-11-20T16:27;707.0;3_51;536.0;2200523388484483_;6.0
Сафронова Лиана Матвеевна;8809_396725;Сочи;Адлер;2016-12-31T09:43;2016-12-31T13:14;611.0;2_13;506.0;4300651560383683_;7.0
Семенов Матвей Юрьевич;3989_570296;Воронеж;Краснодар;2086-10-31T13:30;2086-11-01T17:30;583.0;17_9;1306.0;4567658034852552_;1.0
Суханов Лев Филиппович;0614_490759;Самара;Екатеринбург;2064-09-30T02:24;2064-10-01T02:00;452.0;22_18;1208.0;2204000400506105_;1.0
Пономарев Вячеслав Витальевич;1757_556085;Санкт-Петербург;Тверь;2028-09-06T12:55;2028-09-06T17:05;37.0;3_52;517.0;5486630261800855_;3.0
Егорова Анастасия Артемовна;1920_479068;Ростов-на-Дону;Пенза;2034-06-19T15:34;2034-06-20T01:46;490.0;18_12;793.0;4567237430785701_;10.0
Некрасова Ева Никитична;1975_604341;Адлер;Туапсе;2041-03-08T16:15;2041-03-09T11:35;468.0;19_8;1080.0;5400604330674503_;1.0
Голубев Кузьма Николаевич;5933_299503;Бологое;Тверь;2021-03-28T13:46;2021-03-28T15:58;18.0;20_7;572.0;5469458334541388_;3.0
Голубев Георгий Кузьмич;6263_380787;Иваново;Москва;2014-02-27T15:15;2014-02-27T18:18;726.0;2_13;600.0;4567327062608571_;7.0
Орлов Олег Артёмович;8758_319656;Ростов-на-Дону;Краснодар;2084-07-19T09:15;2084-07-19T23:24;441.0;4_1;3760.0;5500385501463843_;3.0
Коновалова Анна Федоровна;9444_182945;Красноярск;Ярославль;2066-02-12T23:03;2066-02-14T16:36;116.0;25_11;1746.0;2200246636008136_;3.0
Виноградова Ника Леонидовна;7079_928926;Томск;Омск;2034-07-15T19:40;2034-07-16T15:40;64.0;23_15;1100.0;4567875816875781_;3.0
Семенов Геннадий Еремеевич;3412_537318;Тула;Орёл;2015-04-28T11:31;2015-04-28T13:02;761.0;1_4;591.0;5500303571661061_;6.0
Яковлева Варвара Пантелеевна;4070_433618;Ростов-на-Дону;Новороссийск;2014-06-13T08:30;2014-06-13T17:39;600.0;1_16;516.0;5334024712363558_;7.0
Котова Доминика Петровна;9094_031681;Краснодар;Анапа;2032-06-27T02:05;2032-06-27T09:45;109.0;2_2;513.0;2207028347086864_;5.0
Лебедева Ульяна Захаровна;2080_125367;Москва;Ярославль;2032-06-14T10:30;2032-06-14T17:31;349.0;1_14;512.0;5469507488722168_;10.0
Гаврилов Владислав Платонович;0719_659524;Староминская;Ростов-на-Дону;2020-02-20T15:24;2020-02-20T18:06;689.0;5_34;508.0;4817451753177636_;6.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Москва;2038-11-14T11:34;2038-11-14T17:35;498.0;5_12;518.0;5200583071360185_;8.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Санкт-Петербург;2044-04-25T18:56;2044-04-26T18:24;106.0;2_15;852.0;5200186234011660_;3.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Котельниково;2013-03-19T09:10;2013-03-19T13:20;358.0;4_1;1460.0;4300057113300443_;5.0
Елисеева Клавдия Аркадьевна;2051_367943;Ростов-на-Дону;Владикавказ;2037-08-29T01:13;2037-08-29T16:46;429.0;3_46;546.0;5100228715485123_;9.0
Емельянова Аглая Кузьминична;5517_607235;Ростов-на-Дону;Воронеж;2014-02-21T23:00;2014-02-22T02:50;110.0;10_63;513.0;5469270814583353_;5.0
Волкова Радмила Давидовна;2495_023138;Могилев;Псков;2037-03-03T05:12;2037-03-03T17:14;114.0;5_1;3272.0;5334674005213052_;3.0
Ромашкина Валерия Львовна;3768_082594;Тихвин;Санкт-Петербург;2020-08-29T02:57;2020-08-29T07:38;310.0;17_3;654.0;4100203776133021_;1.0
Семёнова Ольга Глебовна;9061_611352;Бологое;Санкт-Петербург;2014-06-15T16:27;2014-06-15T17:48;707.0;7_69;524.0;5400756604521105_;6.0
Лебедев Константин Климентович;6162_914346;Владимир;Москва;2013-06-30T13:46;2013-06-30T15:17;774.0;12_56;554.0;4567573517823434_;6.0
